"","word","n"
"192","молодой",575
"193","страсть",574
"194","муза",573
"195","будто",571
"196","мать",570
"197","тут",569
"198","гроб",565
"199","небесный",565
"200","страх",565
"201","кровь",563
"202","меж",563
"203","или",562
"204","дом",560
"205","если",559
"206","река",559
"207","спать",558
"208","земной",557
"209","глядеть",544
"210","толпа",540
"211","вид",539
"212","песня",539
"213","чем",539
"214","покой",538
"215","оставлять",537
"216","брат",536
"217","первый",536
"218","добрый",533
"219","звук",533
"220","прах",532
"221","глава",529
"222","голос",529
"223","искать",528
"224","каждый",528
"225","верный",527
"226","мысль",527
"227","беда",526
"228","веселый",524
"229","пусть",523
"230","сладкий",517
"231","слышать",512
"232","голова",508
"233","пойти",508
"234","зреть",506
"235","страшный",503
"236","являться",502
"237","бедный",499
"238","лира",497
"239","могила",497
"240","труд",496
"241","чистый",496
"242","луна",495
"243","меч",494
"244","взять",490
"245","горе",488
"246","тихо",487
"247","печальный",483
"248","восторг",479
"249","много",479
"250","последний",478
"251","ветер",477
"252","тишина",477
"253","место",473
"254","нога",472
"255","берег",466
"256","младой",465
"257","узнавать",463
"258","юный",463
"259","жена",460
"260","приходить",460
"261","прощать",459
"262","потом",457
"263","готовый",455
"264","улыбка",455
"265","грозный",452
"266","честь",451
"267","веселие",450
"268","печаль",450
"269","оно",445
"270","звезда",443
"271","опять",442
"272","шум",442
"273","герой",441
"274","буря",440
"275","край",439
"276","ужасный",439
"277","умирать",438
"278","темный",436
"279","самый",433
"280","черный",431
"281","ребенок",430
"282","прелестный",429
"283","весна",428
"284","гость",425
"285","лежать",424
"286","свобода",424
"287","средь",424
"288","увы",424
"289","часто",421
"290","гром",420
"291","дума",417
"292","блеск",416
"293","гореть",413
"294","думать",413
"295","блистать",409
"296","дорога",408
"297","венец",405
"298","ясный",405
"299","снова",403
"300","речь",401
"301","цвет",400
"302","долго",398
"303","мрачный",398
"304","брег",397
"305","великий",397
"306","высокий",397
"307","дышать",397
"308","желание",397
"309","злой",397
"310","страна",397
"311","увидеть",397
"312","воля",396
"313","вновь",392
"314","между",392
"315","всякий",391
"316","звать",391
"317","вечный",390
"318","заря",390
"319","исчезать",390
"320","начинать",390
"321","долина",386
"322","несчастный",384
"323","смертный",382
"324","зачем",380
"325","тьма",380
"326","играть",378
"327","любезный",378
"328","гордый",377
"329","куда",376
"330","златой",375
"331","легкий",375
"332","три",373
"333","встречать",371
"334","священный",370
"335","унылый",370
"336","иметь",369
"337","пламень",369
"338","проходить",369
"339","холм",369
"340","стена",367
"341","шуметь",367
"342","везде",366
"343","тайный",366
"344","храм",364
"345","ничто",363
"346","оставаться",362
"347","русский",362
"348","белый",361
"349","бросать",361
"350","дверь",361
"351","никто",361
"352","едва",359
"353","сад",356
"354","садиться",356
"355","принимать",355
"356","туча",355
"357","должный",354
"358","миг",352
"359","конец",351
"360","царица",350
"361","плакать",349
"362","сиять",348
"363","среди",348
"364","прелесть",347
"365","сквозь",347
"366","желать",345
"367","минута",342
"368","прийти",342
"369","камень",341
"370","иной",340
"371","жертва",338
"372","луг",338
"373","пасть",338
"374","родной",338
"375","чело",338
"376","дикий",336
"377","мрак",335
"378","покрывать",333
"379","роща",333
"380","наконец",332
"381","большой",331
"382","ангел",329
"383","пить",329
"384","след",329
"385","славный",328
"386","вести",327
"387","напрасно",325
"388","дружба",324
"389","цвести",324
"390","бой",323
"391","золотой",321
"392","бледный",317
"393","молчать",317
"394","отдавать",316
"395","пустой",315
"396","дрожать",313
"397","жар",312
"398","скала",312
"399","хороший",312
"400","вздыхать",311
